headline,true_label,predicted_label,confidence,true_label_prob,original_headline
shadow attorney general support call gun,neutral,positive,0.8681,0.0607,shadow attorney general supports calls for gun
gg anzac,positive,neutral,0.9401,0.0341,gg on anzacs
legionnaire death aged care centre,negative,positive,0.9115,0.0884,legionnaires death at aged care centre
snail pace britain eurostar train,negative,neutral,0.9437,0.0274,no more snails pace in britain as eurostar train
tania chapman chair citrus australia limit,negative,neutral,0.9248,0.0536,tania chapman chair of citrus australia limited on
union rorting baiada,negative,neutral,0.8778,0.0966,union: no rorting at baiada
bouncer guilty manslaughter,positive,negative,0.7719,0.2024,three bouncers not guilty of manslaughter
woman treat explosion,neutral,positive,0.4993,0.4748,woman treated after explosion
coverage unwelcome thai junta crack press,positive,neutral,0.9063,0.0456,not all coverage unwelcome as thai junta cracks down on press
saxophone history musical instrument brutal beautiful,negative,positive,0.5813,0.3817,saxophone history of musical instrument brutal and beautiful
bushfire threat worth life sunshine coast resident,negative,positive,0.7656,0.2343,bushfire threat not worth our life sunshine coast residents say
qld police remember fall,negative,neutral,0.7854,0.1931,qld police remember their fallen
coronavirus live export ship al kuwait errors wa premier admit,negative,positive,0.6861,0.1139,coronavirus live export ship al kuwait errors wa premier admits
chance,negative,positive,0.9221,0.0778,no chance
govt sell pensioner home pay welfare,negative,neutral,0.6523,0.3379,govt would sell pensioners homes to pay welfare
question infrastructure affect lockhart flood,negative,neutral,0.5029,0.4847,questions how infrastructure affected lockhart floods
share market follow wall street loss,negative,positive,0.6704,0.3275,share market follows wall street losses
wa government push ban speed camera radar,negative,neutral,0.5236,0.469,wa governments push to ban speed camera radars
space ferocity queensland bushfire reveal,negative,neutral,0.9355,0.0352,from space; the ferocity of queenslands bushfires is revealed
derail gravy train,neutral,negative,0.9368,0.0272,derailing the gravy train
allow pacific island worker north qld,positive,neutral,0.7912,0.1192,call to allow pacific island workers in north qld
motorbike rider die merryland,neutral,negative,0.5547,0.4325,motorbike rider dies at merrylands
grazi de stock fire,neutral,negative,0.8132,0.1682,grazier might have to de stock after more fires
army vehicle bomb afghanistan,neutral,negative,0.7825,0.2118,army vehicle bombed in afghanistan
cfa mess black saturday,negative,neutral,0.8136,0.0936,cfa in a mess on black saturday
luke odonnell keen atone sin rooster,negative,positive,0.9803,0.0121,luke odonnell keen to atone for sins with roosters
pocock rebel shopping list,positive,negative,0.9555,0.0136,pocock not on rebels' shopping list
shepparton high student learn party trauma program,neutral,positive,0.485,0.095,shepparton high students learn party trauma program
fight save pay lentil covid,positive,negative,0.7968,0.2031,fight save pay as you can lentil as anything covid 19
australia large role iraq,negative,neutral,0.9315,0.0321,australia will have no large role as iraq
govt urge drop riverland health plan,negative,neutral,0.6217,0.3378,govt urged to drop riverland health plan
super clinic snub reason fail satisfy,positive,negative,0.9713,0.0287,super clinic snub reason fails to satisfy
soldier charge deadly afghan raid,positive,negative,0.7831,0.0075,soldiers not charged over deadly afghan raid
group join oppose planning law change,positive,neutral,0.6468,0.3356,groups join to oppose planning law changes
community midwife help high risk mum,positive,negative,0.5471,0.4502,community midwife to help high risk mums
breaker complacent north qut,positive,neutral,0.8274,0.0802,breakers not complacent about norths qut
brit adventurer walk paddle png,positive,neutral,0.5508,0.4457,brit adventurers walk and paddle across png
figure highlight southern qld recycling effort,positive,neutral,0.6646,0.284,figures highlight southern qld recycling efforts
abbott dismiss official claim unethical,negative,neutral,0.8803,0.0904,abbott dismisses officials claim of unethical
taser gun hotel hold,negative,neutral,0.5226,0.451,taser gun used in hotel hold up
sun art centre cool,positive,neutral,0.5038,0.494,sun to keep art centre cool
australian beef export fall record year,negative,neutral,0.9461,0.0273,australian beef exports falling after record years
market plunge gloomy world bank forecast,negative,neutral,0.8773,0.0849,market plunges on gloomy world bank forecast
public preselect challenger clover moore,positive,neutral,0.846,0.056,public preselects challenger to clover moore
slut sham force politic emma husar,negative,neutral,0.6582,0.327,slut shaming forced me out of politics emma husar
fear darling river debate polarised,positive,negative,0.5404,0.4595,fears darling river debate may become polarised
evidence hear siege death inquest,neutral,negative,0.916,0.0829,more evidence heard in siege deaths inquest
wagga citizen year back council wiradjuri elder,neutral,negative,0.855,0.0779,wagga citizen of the year backed council wiradjuri elder
deadline loom nominate citizen,positive,negative,0.9378,0.0501,deadline looms to nominate top citizens
australia deny chance snare ranking,neutral,negative,0.8234,0.0016,australia denied chance of snaring top ranking after fourth one
king clinch spot,positive,neutral,0.8391,0.1071,kings clinch top spot
henry absence open door young gun lenton,negative,neutral,0.6662,0.2988,henry absence opens door for young gun lenton
scientist grow fully functional mice tooth,neutral,positive,0.4761,0.4757,scientists grow fully functional mice teeth
israeli helicopter fire missile gaza,neutral,negative,0.8257,0.1456,israeli helicopters fires missiles in gaza
hockey urge meet strike fine worker,positive,negative,0.8423,0.1542,hockey urged to meet strike fine workers
bathurst reach national,neutral,positive,0.6354,0.2556,bathurst within reach of nationals
faece throw bandit create stink sydney,negative,positive,0.8442,0.0273,faeces throwing bandits create stink in sydney
perth hill resident anxiously wait return home,negative,neutral,0.8929,0.0901,perth hills residents anxiously wait to return to homes
finke organiser mull safety change crash,neutral,positive,0.8545,0.0124,finke organisers mull safety changes after us crash
india test nuclear capable missile,positive,neutral,0.8285,0.1099,india tests nuclear capable missile
victorian farmer federation reinforce disgust,negative,neutral,0.6771,0.276,victorian farmers federation reinforces disgust
injury mount dog sneak past blue,neutral,negative,0.5617,0.432,injuries mount as dogs sneak past blues
ira ally sinn fein suspend stab,neutral,negative,0.9566,0.0377,ira ally sinn fein suspends seven over stabbing
unify global golf tour horizon matt kuchar,positive,neutral,0.9108,0.0405,unified global golf tour on the horizon: matt kuchar
asotasi leave rabbitohs england stint,negative,neutral,0.7103,0.2761,asotasi to leave rabbitohs for england stint
aged care regulator accuse inaction,neutral,positive,0.6485,0.0,aged care regulator accused of inaction during
bolster defence counter north korea missile,negative,positive,0.8037,0.1053,us to bolster defences to counter north korea missiles
taswater email appear avoidance scientific advice,negative,neutral,0.8799,0.1058,taswater emails appear to show avoidance of scientific advice
house price increase vary country,neutral,positive,0.7149,0.2518,house price increases varied across country
trap chile miner prepare rescue,neutral,positive,0.8159,0.0703,trapped chile miners prepare for rescue
skater tell jail tunnel joy ride,positive,negative,0.5197,0.4617,skater told he could be jailed for tunnel joy ride
kerin challenger shut,positive,neutral,0.9507,0.0214,kerin to challenger put up or shut up
law society condemnation police association,negative,neutral,0.8825,0.0713,law society condemnation of police association
bacon challenge ferry cost,negative,positive,0.8827,0.0952,bacon challenged over ferry cost
fit kid tanzania,neutral,positive,0.9595,0.0131,fittest kids from tanzania
erratic car bourke st mall terrorist attack,positive,negative,0.9946,0.0006,erratic car in bourke st mall was not a terrorist attack
king white cop match ban,neutral,negative,0.9391,0.0542,king white cop one match bans
dfat appeal fresh info miss people,neutral,negative,0.543,0.0001,dfat appeals for fresh info on missing people
rann lobby submarine facility,negative,neutral,0.8966,0.0764,rann lobbying us for submarine facility
carbon cost red centre fire,neutral,negative,0.5998,0.3857,carbon costs red centre fires
saint will not challenge point decision,negative,positive,0.9068,0.0773,saints wont challenge points decision
afl grand final tragedy give travis varcoe extra drive,negative,positive,0.822,0.1758,afl grand final tragedy gives travis varcoe extra drive
danish royal charm politician,positive,neutral,0.8377,0.0926,danish royals charm politicians
spain free accuse madrid bombing,neutral,positive,0.6538,0.0001,spain frees three accused in madrid bombing
swan close,positive,neutral,0.9137,0.0181,swans close in on top four
google computing quantum supremacy,positive,neutral,0.7929,0.1965,google computing quantum supremacy
eale not risk johns signing,positive,negative,0.8936,0.0172,eales wouldnt risk johns signing
mccarthy promise miracle sunderland,negative,positive,0.9802,0.0189,mccarthy not promising miracles at sunderland
business chamber defer bulky good centre vote,neutral,positive,0.7525,0.1422,business chamber defers bulky goods centre vote
navy sonar testing block protect whale,positive,negative,0.6382,0.3612,us navy sonar testing blocked to protect whales
man face court galah death,neutral,negative,0.8735,0.1253,man to face court over galah deaths
chinese astronaut successfully board space station,positive,neutral,0.9309,0.0477,chinese astronauts successfully board space station
commonwealth game gold medal steal melbourne house,neutral,negative,0.8249,0.0183,1954 commonwealth games gold medal stolen from melbourne house
australian tolerant howard,positive,neutral,0.9124,0.0135,most australians tolerant howard
fear fall interest rate impact council,negative,positive,0.7744,0.2255,fears falling interest rates may impact councils
family pay tribute boy die schoolie,negative,neutral,0.6336,0.342,family pays tribute to boy who died at schoolies
early voter turn record number,neutral,positive,0.6472,0.3211,early voters turning out in record numbers
west indie zimbabwe,positive,neutral,0.821,0.1236,west indies on top against zimbabwe
artist impression planet toi bs orbit,positive,neutral,0.8812,0.0347,artist impression of planet toi 3362 bs orbit
malthouse praise goodes afl racism,negative,positive,0.7418,0.2581,malthouse praises goodes over afl racism
grand prix drop calendar,neutral,positive,0.9916,0.0041,three grands prix dropped from 2014 calendar
quake shake northern japanese island,neutral,negative,0.4762,0.4665,quake shakes northern japanese island
vixen swift bay,neutral,positive,0.7918,0.1425,vixens keep swifts at bay
mayfield resident want action coal haulier,positive,neutral,0.7154,0.2302,mayfield residents want action take against coal hauliers
volunteer diver ivan karadzic rescue,neutral,positive,0.9656,0.0327,volunteer diver ivan karadzic on rescuing the
china see down stealth chopper,negative,neutral,0.8473,0.0928,china saw downed stealth chopper
actcoss welcome new prison plan,negative,positive,0.5774,0.4226,actcoss welcomes new prison plan
effort control lightning fire,neutral,negative,0.7586,0.2347,efforts on to control lightning fires
not unlikely approve euthanasia nitschke,neutral,positive,0.9091,0.0817,nt unlikely to approve euthanasia nitschke
australia comfortable underdog tag,positive,neutral,0.8661,0.0866,australia comfortable with underdogs tag
native title tribunal office force close,negative,neutral,0.7992,0.1699,native title tribunal office forced to close
eatery urge boost waste recycling,neutral,positive,0.6722,0.0002,eateries urged to boost waste recycling
swiss lab deny help armstrong evade drug detection,negative,positive,0.6184,0.3791,swiss lab denies helping armstrong evade drug detection
tennis australia want explain christo kyrgios shirt,positive,neutral,0.7363,0.2153,tennis australia wants please explain christos kyrgios shirt
darren criss land glee gig,positive,neutral,0.6348,0.2339,darren criss lands glee gig
medical board report accusation,positive,negative,0.805,0.0071,medical board did not report accusations against
resident count cost heartbreake blaze,negative,neutral,0.8493,0.077,residents count cost of heartbreaking blazes
austin join western bulldog,positive,neutral,0.5385,0.4493,austin to join western bulldogs
sir joh await decision compo lawyer,neutral,positive,0.6397,0.2462,sir joh still awaiting decision on compo lawyers
hazelwood poise cut job,neutral,negative,0.5484,0.0002,hazelwood poised to cut jobs
biker rally crime free,negative,positive,0.8619,0.1368,bikers rally crime free
beechworth blaze contain fire burn,neutral,negative,0.8273,0.165,beechworth blaze contained 6 fires still burning
magistrate ask tolerant child,positive,neutral,0.8689,0.0817,magistrates asked to be more tolerant of children
bike rider die crash car,negative,neutral,0.5611,0.4281,bike rider dies after crash with car
unsecured claim buildplan rise,negative,neutral,0.909,0.0689,unsecured claims against buildplan 18m and rising
electric cars break australia road reform road user charge,neutral,negative,0.554,0.4272,electric cars breaking australia roads reform road user charging
aussie cyclist miss team sprint medal,positive,negative,0.6857,0.3079,aussie cyclists miss team sprint medal
dever good,neutral,positive,0.9942,0.0,devers still has the goods
damage bill top 1b fire,neutral,negative,0.9377,0.0,damage bill tops 1b in us fires
training hail sydney hobart sink,positive,neutral,0.6926,0.2947,training hailed after sydney hobart sinking
miss fisherman home safely face charge,neutral,negative,0.6421,0.0,missing fishermen home safely may face charges
driver seek injure cyclist,neutral,negative,0.9643,0.0315,driver being sought after injuring several cyclists
aussie filmmaker talk blockbuster filming coronavirus,positive,neutral,0.9161,0.0623,aussie filmmaker talks blockbuster filming in coronavirus
whale greed,negative,neutral,0.9401,0.0292,whaling greed
buck ganguly join force kolkata,positive,neutral,0.5021,0.4293,buck ganguly join forces at kolkata
xenophon call grocerychoice clarity,positive,neutral,0.8953,0.0243,xenophon calls for grocerychoice clarity
critic agree damien hirst jump shark,positive,negative,0.6472,0.3483,critics agree damien hirst has jumped the shark
dams sprinkler,neutral,positive,0.5888,0.3892,dams and sprinklers
rain fail boost canberra dam level,neutral,positive,0.5027,0.0011,rain fails to boost canberra dam levels
restrain order extend spear,neutral,positive,0.5272,0.4115,restraining order extended against spears former
union boss aggressive bear court,negative,neutral,0.8269,0.1433,union boss aggressive and over bearing court
tas yachting adventurer force home,negative,positive,0.636,0.0658,tas yachting adventurer forced home
closure start fall coal price,negative,neutral,0.9091,0.0728,mine closures 'just the start' as falling coal prices take
jcu consider give staff time ax job proposal,neutral,negative,0.6257,0.3213,jcu considers giving staff more time over axed jobs proposal
world cup qualifier iran south korea join socceroo,positive,neutral,0.7411,0.2265,world cup 2014 qualifiers: iran and south korea join socceroo
french gangster spectacular jailbreak,positive,neutral,0.9628,0.0039,top french gangster in spectacular jailbreak
mona dark mofo see blessing curse local creative,negative,positive,0.6773,0.1228,mona dark mofo seen as blessing and curse for local creatives
flintoff pietersen join ipl,positive,neutral,0.6901,0.2685,flintoff pietersen join ipl for 23m each
urgent action inverell hospital staff shortage,positive,negative,0.8996,0.0998,call for urgent action on inverell hospital staff shortages
malka leifer extradition delay israel court extradition,negative,neutral,0.5327,0.4476,malka leifer extradition delayed by israel court extradition
bad news flooded farmer,positive,negative,0.9069,0.0025,not all bad news for flooded farmers
feel ancestor live lunatic asylum,negative,neutral,0.8222,0.1348,how would you feel if your ancestor lived in a lunatic asylum
west coast eagle say change despite bulldog thrashing,negative,neutral,0.7256,0.023,west coast eagles says no changes despite bulldogs thrashing
charter boat operator urge pay levy jetty,negative,neutral,0.6206,0.2586,charter boat operators urged to pay levy for jetty
donald trump ban bump stock las vegas mass shooting,neutral,negative,0.5808,0.4003,donald trump bans bump stocks used in las vegas mass shooting
scott morrison apologise woman allegedly rap,negative,positive,0.511,0.4673,scott morrison apologises to woman allegedly raped
bank share slide lead asx low,neutral,negative,0.853,0.0008,bank shares slide again leading asx lower
crowe play robin hood foe remake,negative,neutral,0.5664,0.0134,crowe to play robin hoods foe in remake
kerle retires butler name nbls ref,positive,neutral,0.5413,0.3423,kerle retires butler named nbls top ref
cop target tweed,positive,neutral,0.8897,0.0745,top cop to target tweed
african cattle territory,positive,neutral,0.9205,0.0524,african cattle doing well in the territory
influential woman,positive,neutral,0.8478,0.0754,influential women
aussie trio start confidently north carolina,positive,neutral,0.9409,0.0354,aussie trio start confidently in north carolina
kowanyama leader face alcohol charge,neutral,negative,0.9131,0.0796,kowanyama leader faces alcohol charge
algeria draw russia reach,neutral,positive,0.6681,0.2786,algeria draws with russia to reach last 16
police chief present service medal,neutral,positive,0.6992,0.2783,police chief presents service medals
dark mofo creator say tame festival dribble away,negative,positive,0.6507,0.002,dark mofo creator says a tame festival would dribble away
fifa sponsor want independent oversight reform process,positive,neutral,0.8569,0.0344,fifa sponsors want independent oversight of reform process
fifa extend china match fix ban worldwide,positive,negative,0.869,0.0422,fifa extends china match fixing bans worldwide
white supremacist name museum gunman,positive,neutral,0.885,0.0753,white supremacist named as museum gunman
renewable technology embrace narromine farmer,neutral,positive,0.5307,0.4119,renewable technology embraced by narromine farmer
kid spring,positive,neutral,0.9306,0.0427,kidding around in spring
campbell leave arsenal,negative,neutral,0.4911,0.4809,campbell to leave arsenal
french soldier stab neck patrol near paris,negative,neutral,0.8108,0.1717,french soldier stabbed in neck while on patrol near paris
lsd discoverer hofmann die,neutral,negative,0.5239,0.4675,lsd discoverer hofmann dies
majak daw return playing field,positive,neutral,0.8433,0.1162,majak daw returns to the playing field
silly thing sleep deprive,negative,neutral,0.7974,0.1676,why we do silly things when were sleep deprived
ahmadullah flee taliban kabul street,negative,neutral,0.7635,0.227,ahmadullah flees from the taliban through kabul streets
mugabe supporter set torture camp right group,negative,positive,0.5035,0.4163,mugabe supporters set up torture camps rights group
qld opposition call tough sentence,positive,negative,0.6011,0.3936,qld opposition calls for tougher sentence in
china coal blast trap,neutral,negative,0.6987,0.3012,china coal mine blast traps 58
lockyer magic hands broncos thrilling victory,positive,neutral,0.872,0.0134,lockyer magic hands broncos thrilling victory
ponte failure give england hope,negative,positive,0.7205,0.279,ponting failure gives england hope
sarah hanson young challenge sa greens senate spot,negative,positive,0.7801,0.0724,sarah hanson young challenged for sa greens senate spot
greece offer new plan avert default,negative,neutral,0.9435,0.0279,greece offers new plan to avert default
mariner blow away victory regain spot,positive,neutral,0.8685,0.0132,mariners blow away victory; regain top spot
gillard face battle flood levy support,neutral,positive,0.5407,0.0005,gillard faces battle for flood levy support
roy hill ask employee accept pay cut,neutral,negative,0.6362,0.0,roy hill asks employees to accept pay cut
bushfire fire firefighter army engineer force,neutral,negative,0.8846,0.1138,bushfires fires firefighters army engineer force
rural sa make lamb sexy,positive,neutral,0.9183,0.0593,rural sa making lamb sexy 1407
government urge drop rspca campaign,negative,neutral,0.5267,0.4567,government urged to drop rspca campaign
copeton dam reach year high,positive,neutral,0.5942,0.333,copeton dam reaches six year high
johnson inquiry jail,neutral,negative,0.5798,0.4149,johnson inquiry jail
footy club say cage fighting event successful,positive,negative,0.5791,0.3916,footy club says cage fighting event successful
giants hand pitiful melbourne point thrashing,neutral,positive,0.5286,0.4613,giants hand pitiful melbourne 64 point thrashing
suppression detail vulin case refuse,negative,neutral,0.7183,0.273,suppression details in vulin case refused
aged care meeting aim address abuse concern,negative,positive,0.5461,0.4533,aged care meeting aims to address abuse concerns
new advice helicopter rescue crew man fall death,negative,positive,0.5617,0.4366,new advice for helicopter rescue crews after man fell to death
federer prove classy tomic,positive,neutral,0.7312,0.178,federer proves too classy for tomic
old male nazi camp survivor die age,positive,neutral,0.6252,0.208,oldest male nazi camp survivor dies aged 107
murchison renew reassurance mid west,positive,neutral,0.8879,0.0654,murchison renews reassurances over mid west
need reduce roo quota game harvester,negative,neutral,0.9215,0.0325,no need to reduce roo quota game harvesters
tasmania get comprehensive cor network,positive,neutral,0.9357,0.0344,tasmania gets comprehensive cors network
philippine rebel join hunt kidnapped australian,positive,negative,0.8636,0.1205,philippine rebels join hunt for kidnapped australian
shed body consider suspicious,positive,negative,0.6035,0.3233,shed body not considered suspicious
pm say chance costello rift,negative,positive,0.8135,0.1712,pm says no chance of costello rift
australia not sign nuclear ban treaty,positive,negative,0.8872,0.0028,australia shouldnt sign nuclear ban treaty
child trauma support kit succeed nationwide,positive,negative,0.5786,0.4093,child trauma support kit succeeds nationwide
car leave clamp sydney street racing,neutral,negative,0.5702,0.4114,cars left clamped after sydney street racing
ablett chapman look certaintie,positive,neutral,0.8904,0.0237,ablett chapman look certainties
aussie film industry stick past,negative,neutral,0.6702,0.2543,aussie film industry stuck in the past
margaret fulton die age,negative,neutral,0.8936,0.026,margaret fulton has died at age 94
britain ready write world debt,neutral,negative,0.5231,0.003,britain ready to write off third world debt
not man charge lighting fire end appear court,neutral,negative,0.9903,0.0011,nt man charged with lighting fires in top end appears in court
researcher explain importance tara station ai program,positive,neutral,0.524,0.4678,researchers explain the importance of tara station ai program
cpsu defence strike,neutral,negative,0.5063,0.0,cpsu defence strike
talented researcher leave country fellowship cut,positive,negative,0.9912,0.0081,talented researchers could leave country after fellowships cut
adrian bayley appeal decision refuse legal aid,negative,positive,0.5282,0.4606,adrian bayley appeals against decision refusing him legal aid
man charge supply ecstacy cannabis broken hill,positive,negative,0.9992,0.0005,man charged with supplying ecstacy and cannabis in broken hill
referendum election day council,negative,neutral,0.9353,0.0587,no referendum on election day councils
federer make master cup objective,positive,neutral,0.8448,0.0629,federer makes masters cup his top objective
director chartwell enterprise tell court,neutral,negative,0.5662,0.3865,the director of chartwell enterprises told a court
qld public servant accommodation ineffective unsafe,negative,neutral,0.6877,0.2292,qld public servant accommodation ineffective unsafe
funeral farewell great train robber biggs,negative,positive,0.5587,0.4412,funeral farewell for great train robber biggs
confirmation tralee housing plan,negative,neutral,0.5304,0.4569,no confirmation on tralee housing plan
home boy throw petrol heater,negative,neutral,0.7031,0.2774,home alone boys throw petrol on heater
esso bass strait oil spill regrettable,negative,neutral,0.8941,0.0827,esso bass strait oil spill regrettable
dignity therapy give die people remember,positive,neutral,0.5209,0.2266,dignity therapy gives dying people a say in how remembered
icac probe report leak,neutral,negative,0.9436,0.0529,call for icac to probe report leaking
united skipper face surgery calf injury,neutral,positive,0.7643,0.0317,united skipper faces surgery for calf injury
australia focus india series whitewash scg day inte,positive,neutral,0.9643,0.0224,australia focused on india series whitewash in scg one day inte
donald trump appoints vaccine sceptic,negative,neutral,0.7817,0.0933,donald trump appoints vaccine sceptic
test flagship app,positive,neutral,0.96,0.0108,test for flagship app 3
treasurer pulp mill trip question,neutral,positive,0.7656,0.1073,treasurers pulp mill trip questioned
paramedic plan phase pay campaign,negative,neutral,0.5549,0.4352,paramedics plan next phase of pay campaign
bendigo bank will not cut job,positive,negative,0.944,0.0322,bendigo bank wont cut jobs
die road long weekend,negative,neutral,0.7758,0.1941,three die on roads over long weekend
kevin rudd honour battle long tan veteran,positive,negative,0.5454,0.4539,kevin rudd honours battle of long tan veterans
bow arrow george floyd protest america unrest,negative,neutral,0.5711,0.4198,bow and arrow george floyd protest america unrest
scout leader jail child protection breach,neutral,negative,0.6264,0.3577,former scout leader back in jail over child protection breaches
brazen encounter croc spot,positive,neutral,0.677,0.2059,brazen encounter at top croc spot
russia ridicule georgias coup claim,negative,neutral,0.9623,0.026,russia ridicules georgias coup claims
new emergency service chief confident,positive,negative,0.6648,0.3348,new emergency services chief confident of
leave sprout stork,neutral,negative,0.9426,0.0414,leaving the sprouts on their storks
magazine name melbourne world city,positive,neutral,0.883,0.051,magazine names melbourne worlds top city
hendra take seriously vet,positive,neutral,0.6551,0.3045,hendra not taken seriously enough vet
qld emergency department treat binge drinker,neutral,negative,0.8594,0.0896,qld emergency departments treat more binge drinkers
djokovic drop london,neutral,negative,0.7178,0.2169,djokovic drops out in london
housing dept ideally place oversee,positive,neutral,0.8372,0.0724,housing dept ideally placed to oversee
greenpeace leave southern ocean,negative,neutral,0.4744,0.425,greenpeace to leave southern ocean
twin separation magnificent,positive,neutral,0.8731,0.0883,twins separation magnificent
goondiwindi flood firing line,negative,neutral,0.9321,0.0405,goondiwindi next in flood firing line
bully victim win 470k payout,negative,positive,0.54,0.46,bullying victim wins 470k payout
philosophy help leave marriage quit job,negative,positive,0.9298,0.0545,philosophy helped me leave my marriage quit my job
fitter sue bhp asbestos exposure,negative,neutral,0.6265,0.2864,former fitter suing bhp over asbestos exposure
stone rocks unite chelsea stutter,negative,neutral,0.7855,0.0149,stone rocks united but chelsea stutter
ocallaghan cheap talk not pay bill,positive,neutral,0.5279,0.0161,ocallaghan cheap talk doesnt pay the bills
book dead simply redefine,positive,negative,0.9992,0.0001,the book is not dead it is simply being redefined
history qr code popularity skyrocket covid,positive,neutral,0.8307,0.0227,history of qr codes as popularity skyrockets due to covid 19
cairns health unit say dengue easing,positive,neutral,0.7809,0.0753,cairns health unit says dengue easing
signal chile start xi say halloran,negative,neutral,0.8986,0.0346,no signals on chile starting xi says halloran
xstrata suspend magnetite production cloncurry,neutral,negative,0.8082,0.1884,xstrata suspends magnetite production at cloncurry mine
tahs pay tribute depart elsom,negative,neutral,0.7938,0.1722,tahs pay tribute to departing elsom
barilaro say nsw national lose trust,positive,negative,0.5203,0.4794,barilaro says nsw nationals have lost trust
plane make emergency landing sunshine coast,positive,negative,0.5666,0.4303,plane makes emergency landing on sunshine coast
death fairy penguin prompt large,negative,neutral,0.5232,0.4758,death of fairy penguins prompts call for larger
pakistan humiliate perth,negative,neutral,0.9052,0.054,pakistan humiliated in perth
cafl club defer merger decision,negative,neutral,0.6534,0.3276,cafl clubs defer merger decision
catastrophic bushfire season opportunity leadership,negative,positive,0.6745,0.0332,catastrophic bushfire season is an opportunity for leadership
epa delay browse gas decision,neutral,negative,0.6419,0.3475,epa delays browse gas decision
mayoral mp,negative,neutral,0.9443,0.051,no mayoral mp
tasmanian hay chinese sunshine,neutral,positive,0.9027,0.0949,make tasmanian hay while the chinese sunshines
australian troop shoot man baghdad,negative,neutral,0.5569,0.4045,australian troops shoot man in baghdad
bush kid sporty mt isa despite funding cut,positive,negative,0.6174,0.2778,bush kids get sporty in mt isa despite funding cuts
coronacheck flyer drop letterbox chris bowen mp,neutral,negative,0.5064,0.4664,coronacheck flyer dropped in letterbox chris bowen mp
sydney siege cope traumatic incident,negative,neutral,0.6581,0.3137,sydney siege how to cope with traumatic incidents
water act challenge,negative,positive,0.9255,0.0733,water act challenged
new kindy teacher earn pay parity,negative,neutral,0.5055,0.41,new kindy teachers earn pay parity
hunt glad turn kiwis,positive,neutral,0.8936,0.0051,hunt glad he turned down kiwis
italy prison fashion brand give inmate new hope,negative,positive,0.802,0.1961,italy prison fashion brand gives inmates new hope
legislation amendment landmark,neutral,positive,0.8342,0.0815,legislation amendments will make landmarks
gun explosive drug find house melbournes south,neutral,negative,0.5306,0.4456,guns; explosives and drugs found at house in melbournes south
wa govt seek extend shark drum line program,positive,neutral,0.6868,0.2877,wa govt seeks to extend shark drum line program
biodiversity crash australia wide,neutral,negative,0.5632,0.4353,biodiversity crashing australia wide
environmentally friendly gas fire power station,negative,positive,0.6221,0.3758,environmentally friendly gas fired power station
shark summit idea include electric fence protect beach,positive,neutral,0.6084,0.3545,shark summit ideas include electric fence to protect beaches
chickpea challenge high low grow,positive,negative,0.5386,0.4614,chickpea challenges: the highs and lows of growing
dairy code conduct worthless say farmer,negative,neutral,0.845,0.1252,dairy code of conduct worthless says farmer
hear nsw council rate change household pay,negative,neutral,0.6134,0.3805,hearing nsw council rates changes may see households pay more
tear tariff australia,neutral,negative,0.6508,0.2448,tearing down the tariffs: what the australia
holocaust survivor dress sew ss curtain,positive,negative,0.4327,0.1465,holocaust survivor dress sewed from ss curtains
fruit grower want clarification quarantine,positive,neutral,0.5664,0.2417,fruit growers want clarification on quarantine
outdoors not mean safe covid,negative,positive,0.9896,0.0018,being outdoors doesnt mean youre safe from covid 19
crossin questions alice airport revamp delay,negative,neutral,0.6176,0.3297,crossin questions alice airport revamp delay
senate descend farce president label behaviour pathetic,negative,neutral,0.8907,0.0499,senate descends into farce president labels behaviour pathetic
penny save penny get,positive,neutral,0.5534,0.4394,a penny saved is a penny got
macklin consider remove not alcohol ban,neutral,negative,0.9098,0.0887,macklin considers removing nt alcohol bans
chelsea beat arsenal controversial baku europa league final,negative,neutral,0.5148,0.4694,chelsea beat arsenal in controversial baku europa league final
iraqi leak scale civilian casualty,neutral,negative,0.9462,0.0508,iraqi leaks show scale of civilian casualties
rat sydney cane toad menace,negative,neutral,0.5902,0.3584,ratting out sydneys cane toad menace
stem cell service treat racehorse injury,positive,negative,0.6445,0.0999,stem cell service to treat racehorse injuries
kelly dominate darwin,positive,negative,0.6477,0.3382,kelly dominates in darwin
excitement build brisbane liverpool showdown roar,positive,neutral,0.915,0.0698,excitement builds in brisbane for liverpool showdown with roar
vitamin delay onset alzheimer study,neutral,negative,0.5468,0.0204,vitamin b could delay onset of alzheimers study
timeless reflection active witness,positive,neutral,0.8762,0.0105,timeless reflections of an active witness
turnbull maintain genial relationship,positive,neutral,0.8731,0.0689,turnbull maintaining genial relationships with
strike writer studio finger pointing,neutral,negative,0.8157,0.1816,striking writers studios back to finger pointing
white house undecided release bin laden photo,negative,neutral,0.8967,0.0456,white house undecided on releasing bin laden photos
fund allow start drought pipeline,positive,neutral,0.8131,0.1646,funds allow start to drought pipeline
court fine mackay fisherman breach,neutral,positive,0.5745,0.3253,court fines mackay fishermen for breaches
brisbane bus leave child strand,neutral,negative,0.6538,0.3294,another brisbane bus leaves child stranded
alliance will not weaken obama ambassador,positive,negative,0.541,0.2343,alliance wont weaken under obama ambassador
tey mla agree shortage continue,positive,negative,0.6196,0.3802,teys and mla agree shortage will continue
till conference,negative,neutral,0.9225,0.0722,no till conference
